Country/Region,Lat,Lat_norm,Long,Long_norm,Date,Num_days_from_begin,Num_days_from_begin_norm,Confirmed,Deaths,Recovered
Afghanistan,33.0,0.683333,65.0,0.680556,2020-01-22,0,0.0,0,0,0.0
Albania,41.1533,0.728629,20.1683,0.556023,2020-01-22,0,0.0,0,0,0.0
Algeria,28.0339,0.655744,1.6596,0.50461,2020-01-22,0,0.0,0,0,0.0
Andorra,42.5063,0.736146,1.5218,0.504227,2020-01-22,0,0.0,0,0,0.0
Angola,-11.2027,0.437763,17.8739,0.54965,2020-01-22,0,0.0,0,0,0.0
Anguilla,18.2206,0.601226,-63.0686,0.324809,2020-01-22,0,0.0,0,0,0.0
Antigua and Barbuda,17.0608,0.594782,-61.7964,0.328343,2020-01-22,0,0.0,0,0,0.0
Argentina,-38.4161,0.286577,-63.6167,0.323287,2020-01-22,0,0.0,0,0,0.0
Armenia,40.0691,0.722606,45.0382,0.625106,2020-01-22,0,0.0,0,0,0.0
Aruba,12.5186,0.569548,-70.0358,0.305456,2020-01-22,0,0.0,0,0,0.0
Australia,-35.4735,0.302925,149.0124,0.913923,2020-01-22,0,0.0,0,0,0.0
Austria,47.5162,0.763979,14.5501,0.540417,2020-01-22,0,0.0,0,0,0.0
Azerbaijan,40.1431,0.723017,47.5769,0.632158,2020-01-22,0,0.0,0,0,0.0
Bahamas,25.0343,0.639079,-77.3963,0.28501,2020-01-22,0,0.0,0,0,0.0
Bahrain,26.0275,0.644597,50.55,0.640417,2020-01-22,0,0.0,0,0,0.0
Bangladesh,23.685,0.631583,90.3563,0.75099,2020-01-22,0,0.0,0,0,0.0
Barbados,13.1939,0.573299,-59.5432,0.334602,2020-01-22,0,0.0,0,0,0.0
Belarus,53.7098,0.798388,27.9534,0.577648,2020-01-22,0,0.0,0,0,0.0
Belgium,50.8333,0.782407,4.0,0.511111,2020-01-22,0,0.0,0,0,0.0
Belize,13.1939,0.573299,-59.5432,0.334602,2020-01-22,0,0.0,0,0,0.0
Benin,9.3077,0.551709,2.3158,0.506433,2020-01-22,0,0.0,0,0,0.0
Bermuda,32.3078,0.679488,-64.7505,0.320138,2020-01-22,0,0.0,0,0,0.0
Bhutan,27.5142,0.652857,90.4336,0.751204,2020-01-22,0,0.0,0,0,0.0
Bolivia,-16.2902,0.409499,-63.5887,0.323365,2020-01-22,0,0.0,0,0,0.0
Bosnia and Herzegovina,43.9159,0.743977,17.6791,0.549109,2020-01-22,0,0.0,0,0,0.0
Botswana,-22.3285,0.375953,24.6849,0.568569,2020-01-22,0,0.0,0,0,0.0
Brazil,-14.235,0.420917,-51.9253,0.355763,2020-01-22,0,0.0,0,0,0.0
British Virgin Islands,18.4207,0.602337,-64.64,0.320444,2020-01-22,0,0.0,0,0,0.0
Brunei,4.5353,0.525196,114.7277,0.818688,2020-01-22,0,0.0,0,0,0.0
Bulgaria,42.7339,0.737411,25.4858,0.570794,2020-01-22,0,0.0,0,0,0.0
Burkina Faso,12.2383,0.567991,-1.5616,0.495662,2020-01-22,0,0.0,0,0,0.0
Burma,21.9162,0.621757,95.956,0.766544,2020-01-22,0,0.0,0,0,0.0
Burundi,-3.3731,0.481261,29.9189,0.583108,2020-01-22,0,0.0,0,0,0.0
Cabo Verde,16.5388,0.591882,-23.0418,0.435995,2020-01-22,0,0.0,0,0,0.0
Cambodia,11.55,0.564167,104.9167,0.791435,2020-01-22,0,0.0,0,0,0.0
Cameroon,3.8480000000000003,0.521378,11.5021,0.53195,2020-01-22,0,0.0,0,0,0.0
Canada,53.9333,0.799629,-116.5765,0.176176,2020-01-22,0,0.0,0,0,
Cayman Islands,19.3133,0.607296,-81.2546,0.274293,2020-01-22,0,0.0,0,0,0.0
Central African Republic,6.6111,0.536728,20.9394,0.558165,2020-01-22,0,0.0,0,0,0.0
Chad,15.4542,0.585857,18.7322,0.552034,2020-01-22,0,0.0,0,0,0.0
Channel Islands,49.3723,0.774291,-2.3644,0.493432,2020-01-22,0,0.0,0,0,0.0
Chile,-35.6751,0.301805,-71.543,0.301269,2020-01-22,0,0.0,0,0,0.0
China,31.8257,0.676809,117.2264,0.825629,2020-01-22,0,0.0,548,17,28.0
Colombia,4.5709,0.525394,-74.2973,0.293619,2020-01-22,0,0.0,0,0,0.0
Comoros,-11.6455,0.435303,43.3333,0.62037,2020-01-22,0,0.0,0,0,0.0
Congo (Brazzaville),-4.0383,0.477565,21.7587,0.560441,2020-01-22,0,0.0,0,0,0.0
Congo (Kinshasa),-4.0383,0.477565,21.7587,0.560441,2020-01-22,0,0.0,0,0,0.0
Costa Rica,9.7489,0.554161,-83.7534,0.267352,2020-01-22,0,0.0,0,0,0.0
Cote d'Ivoire,7.54,0.541889,-5.5471,0.484591,2020-01-22,0,0.0,0,0,0.0
Croatia,45.1,0.750556,15.2,0.542222,2020-01-22,0,0.0,0,0,0.0
Cuba,22.0,0.622222,-80.0,0.277778,2020-01-22,0,0.0,0,0,0.0
Curacao,12.1696,0.567609,-68.99,0.308361,2020-01-22,0,0.0,0,0,0.0
